Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,59,38,21,62,9,15,0,7,0.644068,0.808511,0.24193499999999998,0.7169810000000001,,,4.090909090909091,4.0
INDEL,PASS,59,38,21,62,9,15,0,7,0.644068,0.808511,0.24193499999999998,0.7169810000000001,,,4.090909090909091,4.0
SNP,ALL,402,401,1,463,2,60,0,0,0.9975120000000001,0.9950370000000001,0.12959,0.996273,2.5350877192982457,2.338129496402878,4.647887323943662,4.435294117647059
SNP,PASS,402,401,1,463,2,60,0,0,0.9975120000000001,0.9950370000000001,0.12959,0.996273,2.5350877192982457,2.338129496402878,4.647887323943662,4.435294117647059
